SL,ID,Year,  Market Capitalization  ,Market Cap Growth,de,df,roe,roa,roic,ta,cc,ffr,lf,ni,nig,tag,cg,ffrg,lfg
1,BOKF,2004,"2,889,069,788",0.30743,1.94645,8.43194,0.135,0.013,0.017,0.06269718,0.05064302,1.171935484,1.065023483,179023000,0.13048,0.06269718,0.05064302,1.171935484,1.065023483
1,BOKF,2005,"3,023,672,153",0.04659,1.74653,9.0978,0.135,0.013,0.018,0.03770142,0.038972171,2.000967742,1.224294601,201505000,0.12558,0.03770142,0.038972171,2.000967742,1.224294601
1,BOKF,2006,"3,676,927,974",0.21605,1.88263,14.24817,0.13,0.012,0.017,0.02666631,0.032639133,1.080967742,0.671091796,212977000,0.05693,0.02666631,0.032639133,1.080967742,0.671091796
1,BOKF,2007,"3,470,470,088",-0.05615,2.40312,16.25542,0.118,0.011,0.015,0.02634684,0.013461014,-0.993548387,-0.776062595,217664000,0.02201,0.02634684,0.013461014,-0.993548387,-0.776062595
1,BOKF,2008,"2,724,327,015",-0.215,2.67886,40.67754,0.079,0.007,0.008,0.92001516,0.067851275,-4.089354839,-10.79813249,153232000,-0.29602,0.92001516,0.067851275,-4.089354839,-10.79813249
1,BOKF,2009,"3,217,462,633",0.18101,2.26839,17.85534,0.096,0.009,0.011,-0.00158462,0.051538923,-0.037096774,-23.4155207,200578000,0.30898,-0.00158462,0.051538923,-0.037096774,-23.4155207
1,BOKF,2010,"3,636,066,128",0.1301,1.39431,10.37485,0.101,0.01,0.014,0.07526413,0.057877427,0.06516129,6.06811579,246754000,0.23021,0.07526413,0.057877427,0.06516129,6.06811579
1,BOKF,2011,"3,735,591,003",0.02737,1.00701,7.03148,0.107,0.012,0.017,0.18930096,0.085119028,-0.111612903,8.73132471,285875000,0.15854,0.18930096,0.085119028,-0.111612903,8.73132471
1,BOKF,2012,"3,715,008,179",-0.00551,1.03245,4.57368,0.121,0.013,0.019,0.00338707,0.081273135,0.092903226,4.94387983,351191000,0.22848,0.00338707,0.081273135,0.092903226,4.94387983
1,BOKF,2013,"4,561,992,571",0.22799,1.01644,4.07427,0.106,0.012,0.016,0.31913634,0.061679646,-0.079354839,7.899735023,316609000,-0.09847,0.31913634,0.061679646,-0.079354839,7.899735023
1,BOKF,2014,"4,163,023,380",-0.08746,1.12843,-52.72263,0.091,0.01,0.015,0.11914151,0.075446636,0.037419355,4.565764439,292435000,-0.07635,0.11914151,0.075446636,0.037419355,4.565764439
1,BOKF,2015,"4,048,562,123",-0.02749,1.94328,27.74269,0.087,0.009,0.013,-0.0023696,0.064467186,0.118064516,1.082028275,288565000,-0.01323,-0.0023696,0.064467186,0.118064516,1.082028275
1,BOKF,2016,"5,473,204,100",0.35189,1.74582,-61.58961,0.07,0.007,0.009,-0.00585918,0.057874364,0.299354839,1.23973597,232668000,-0.19371,-0.00585918,0.057874364,0.299354839,1.23973597
1,BOKF,2017,"6,042,970,484",0.1041,1.67494,24.58061,0.097,0.01,0.015,-0.00303749,0.067805067,0.761612903,0.431470995,334644000,0.43829,-0.00303749,0.067805067,0.761612903,0.431470995
1,BOKF,2018,"4,798,294,139",-0.20597,1.67386,-12.21543,0.118,0.013,0.014,-0.08514775,0.061834403,0.972580645,0.101179986,445646000,0.3317,-0.08514775,0.061834403,0.972580645,0.101179986
1,BOKF,2019,"6,192,990,074",0.29066,1.77547,-10.83433,0.106,0.012,0.013,0.00790062,0.049918222,-0.723225806,0.01556497,500758000,0.12367,0.00790062,0.049918222,-0.723225806,0.01556497
1,BOKF,2020,"4,814,543,444",-0.22258,0.72563,-7.89122,0.084,0.009,0.011,0.57560369,0.143210333,-1.460967742,-7.588985688,435030000,-0.13126,0.57560369,0.143210333,-1.460967742,-7.588985688
1,BOKF,2021,"7,236,272,634",0.503,0.46505,-0.66842,0.116,0.013,0.017,0.17559228,0.071445957,-0.010322581,15.91849214,618121000,0.42087,0.17559228,0.071445957,-0.010322581,15.91849214
2,ABCB,2004,"204,466,281",0.29803,1.26893,8.22153,0.111,0.011,0.016,0.06269718,0.05064302,1.171935484,1.065023483,13101000,0.090840966,0.06269718,0.05064302,1.171935484,1.065023483
2,ABCB,2005,"235,421,261",0.15139,1.05614,8.37829,0.105,0.01,0.015,0.03770142,0.038972171,2.000967742,1.224294601,13728000,0.047858942,0.03770142,0.038972171,2.000967742,1.224294601
2,ABCB,2006,"367,275,379",0.56008,0.74806,4.71562,0.138,0.012,0.018,0.02666631,0.032639133,1.080967742,0.671091796,22128000,0.611888112,0.02666631,0.032639133,1.080967742,0.671091796
2,ABCB,2007,"228,134,172",-0.37885,0.77111,20.00461,0.081,0.007,0.011,0.02634684,0.013461014,-0.993548387,-0.776062595,15153000,-0.315211497,0.02634684,0.013461014,-0.993548387,-0.776062595
2,ABCB,2008,"160,754,327",-0.29535,0.59194,8.94645,-0.021,-0.002,-0.003,0.92001516,0.067851275,-4.089354839,-10.79813249,-3916000,-1.258430674,0.92001516,0.067851275,-4.089354839,-10.79813249
2,ABCB,2009,"97,978,113",-0.39051,0.51047,5.29998,-0.2,-0.019,-0.016,-0.00158462,0.051538923,-0.037096774,-23.4155207,-41789000,9.671348315,-0.00158462,0.051538923,-0.037096774,-23.4155207
2,ABCB,2010,"249,008,185",1.54147,0.56307,3.70682,-0.028,-0.003,-0.003,0.07526413,0.057877427,0.06516129,6.06811579,-3989000,-0.904544258,0.07526413,0.057877427,0.06516129,6.06811579
2,ABCB,2011,"244,168,442",-0.01944,0.34018,2.83003,0.063,0.006,0.012,0.18930096,0.085119028,-0.111612903,8.73132471,21093000,-6.287791426,0.18930096,0.085119028,-0.111612903,8.73132471
2,ABCB,2012,"297,501,109",0.21843,0.33112,-5.66804,0.037,0.004,0.008,0.00338707,0.081273135,0.092903226,4.94387983,14435000,-0.315649742,0.00338707,0.081273135,0.092903226,4.94387983
