ID,Year,roe,ta,cc,ffr,lf
BOKF,2004,0.135,0.06269718,0.05064302,1.171935484,1.065023483
BOKF,2005,0.135,0.03770142,0.038972171,2.000967742,1.224294601
BOKF,2006,0.13,0.02666631,0.032639133,1.080967742,0.671091796
BOKF,2007,0.118,0.02634684,0.013461014,-0.993548387,-0.776062595
BOKF,2008,0.079,0.92001516,0.067851275,-4.089354839,-10.79813249
BOKF,2009,0.096,-0.00158462,0.051538923,-0.037096774,-23.4155207
BOKF,2010,0.101,0.07526413,0.057877427,0.06516129,6.06811579
BOKF,2011,0.107,0.18930096,0.085119028,-0.111612903,8.73132471
BOKF,2012,0.121,0.00338707,0.081273135,0.092903226,4.94387983
BOKF,2013,0.106,0.31913634,0.061679646,-0.079354839,7.899735023
BOKF,2014,0.091,0.11914151,0.075446636,0.037419355,4.565764439
BOKF,2015,0.087,-0.0023696,0.064467186,0.118064516,1.082028275
BOKF,2016,0.07,-0.00585918,0.057874364,0.299354839,1.23973597
BOKF,2017,0.097,-0.00303749,0.067805067,0.761612903,0.431470995
BOKF,2018,0.118,-0.08514775,0.061834403,0.972580645,0.101179986
BOKF,2019,0.106,0.00790062,0.049918222,-0.723225806,0.01556497
BOKF,2020,0.084,0.57560369,0.143210333,-1.460967742,-7.588985688
BOKF,2021,0.116,0.17559228,0.071445957,-0.010322581,15.91849214
ABCB,2004,0.111,0.06269718,0.05064302,1.171935484,1.065023483
ABCB,2005,0.105,0.03770142,0.038972171,2.000967742,1.224294601
ABCB,2006,0.138,0.02666631,0.032639133,1.080967742,0.671091796
ABCB,2007,0.081,0.02634684,0.013461014,-0.993548387,-0.776062595
ABCB,2008,-0.021,0.92001516,0.067851275,-4.089354839,-10.79813249
ABCB,2009,-0.2,-0.00158462,0.051538923,-0.037096774,-23.4155207
ABCB,2010,-0.028,0.07526413,0.057877427,0.06516129,6.06811579
ABCB,2011,0.063,0.18930096,0.085119028,-0.111612903,8.73132471
ABCB,2012,0.037,0.00338707,0.081273135,0.092903226,4.94387983
ABCB,2013,0.062,0.31913634,0.061679646,-0.079354839,7.899735023
ABCB,2014,0.113,0.11914151,0.075446636,0.037419355,4.565764439
ABCB,2015,0.082,-0.0023696,0.064467186,0.118064516,1.082028275
ABCB,2016,0.115,-0.00585918,0.057874364,0.299354839,1.23973597
ABCB,2017,0.093,-0.00303749,0.067805067,0.761612903,0.431470995
ABCB,2018,0.095,-0.08514775,0.061834403,0.972580645,0.101179986
ABCB,2019,0.082,0.00790062,0.049918222,-0.723225806,0.01556497
ABCB,2020,0.104,0.57560369,0.143210333,-1.460967742,-7.588985688
ABCB,2021,0.132,0.17559228,0.071445957,-0.010322581,15.91849214
SFNC,2004,0.105,0.06269718,0.05064302,1.171935484,1.065023483
SFNC,2005,0.113,0.03770142,0.038972171,2.000967742,1.224294601
SFNC,2006,0.109,0.02666631,0.032639133,1.080967742,0.671091796
SFNC,2007,0.103,0.02634684,0.013461014,-0.993548387,-0.776062595
SFNC,2008,0.095,0.92001516,0.067851275,-4.089354839,-10.79813249
SFNC,2009,0.08,-0.00158462,0.051538923,-0.037096774,-23.4155207
SFNC,2010,0.097,0.07526413,0.057877427,0.06516129,6.06811579
SFNC,2011,0.063,0.18930096,0.085119028,-0.111612903,8.73132471
SFNC,2012,0.068,0.00338707,0.081273135,0.092903226,4.94387983
SFNC,2013,0.058,0.31913634,0.061679646,-0.079354839,7.899735023
SFNC,2014,0.079,0.11914151,0.075446636,0.037419355,4.565764439
SFNC,2015,0.071,-0.0023696,0.064467186,0.118064516,1.082028275
SFNC,2016,0.087,-0.00585918,0.057874364,0.299354839,1.23973597
