SL,ID,Year,roe,ta,cc,ffr,lf
1,BOKF,2004,0.135,13.60352033,6.62459019,2.156129032,-1.955696159
1,BOKF,2005,0.135,13.64122175,6.663562361,4.157096774,-0.731401558
1,BOKF,2006,0.13,13.66788806,6.696201494,5.238064516,-0.060309762
1,BOKF,2007,0.118,13.6942349,6.709662508,4.244516129,-0.836372357
1,BOKF,2008,0.079,14.61425006,6.777513783,0.15516129,-11.63450485
1,BOKF,2009,0.096,14.61266544,6.829052706,0.118064516,-35.05002555
1,BOKF,2010,0.101,14.68792957,6.886930133,0.183225806,-28.98190976
1,BOKF,2011,0.107,14.87723053,6.972049161,0.071612903,-20.25058505
1,BOKF,2012,0.121,14.8806176,7.053322296,0.164516129,-15.30670522
1,BOKF,2013,0.106,15.19975394,7.115001942,0.08516129,-7.406970197
1,BOKF,2014,0.091,15.31889545,7.190448578,0.122580645,-2.841205758
1,BOKF,2015,0.087,15.31652585,7.254915764,0.240645161,-1.759177483
1,BOKF,2016,0.07,15.31066667,7.312790128,0.54,-0.519441513
1,BOKF,2017,0.097,15.30762918,7.380595195,1.301612903,-0.087970518
1,BOKF,2018,0.118,15.22248143,7.442429598,2.274193548,0.013209468
1,BOKF,2019,0.106,15.23038205,7.49234782,1.550967742,0.028774438
1,BOKF,2020,0.084,15.80598574,7.635558153,0.09,-7.56021125
1,BOKF,2021,0.116,15.98157802,7.70700411,0.079677419,8.358280893
2,ABCB,2004,0.111,13.60352033,6.62459019,2.156129032,-1.955696159
2,ABCB,2005,0.105,13.64122175,6.663562361,4.157096774,-0.731401558
2,ABCB,2006,0.138,13.66788806,6.696201494,5.238064516,-0.060309762
2,ABCB,2007,0.081,13.6942349,6.709662508,4.244516129,-0.836372357
2,ABCB,2008,-0.021,14.61425006,6.777513783,0.15516129,-11.63450485
2,ABCB,2009,-0.2,14.61266544,6.829052706,0.118064516,-35.05002555
2,ABCB,2010,-0.028,14.68792957,6.886930133,0.183225806,-28.98190976
2,ABCB,2011,0.063,14.87723053,6.972049161,0.071612903,-20.25058505
2,ABCB,2012,0.037,14.8806176,7.053322296,0.164516129,-15.30670522
2,ABCB,2013,0.062,15.19975394,7.115001942,0.08516129,-7.406970197
2,ABCB,2014,0.113,15.31889545,7.190448578,0.122580645,-2.841205758
2,ABCB,2015,0.082,15.31652585,7.254915764,0.240645161,-1.759177483
2,ABCB,2016,0.115,15.31066667,7.312790128,0.54,-0.519441513
2,ABCB,2017,0.093,15.30762918,7.380595195,1.301612903,-0.087970518
2,ABCB,2018,0.095,15.22248143,7.442429598,2.274193548,0.013209468
2,ABCB,2019,0.082,15.23038205,7.49234782,1.550967742,0.028774438
